<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
summary_drug_use	taf	"Used alafenamide tenofovir (305) since last visit (added at visit 44)
"	enum					No | Yes | Uncertain | Missing 							
summary_drug_use	h	"Yes / No if Isoniazid was included in the regimen
"	boolean												
summary_drug_use	r	"Yes / No if Rifampicin was included in the regimen
"	boolean												
summary_drug_use	s	"Yes / No if Streptomycin was included in the regimen
"	boolean												
summary_drug_use	e	"Yes / No if Ethambutol was included in the regimen
"	boolean												
summary_drug_use	ofx	"Yes / No if Ofloxacin was included in the regimen
"	boolean												
summary_drug_use	cm	"Yes / No if Capreomycin was included in the regimen
"	boolean												
summary_drug_use	am	"Yes / No if Amikacin was included in the regimen
"	boolean												
summary_drug_use	km	"Yes / No if Kanamycin was included in the regimen
"	boolean												
summary_drug_use	z	"Yes / No if Pyrazinamide was included in the regimen
"	boolean												
summary_drug_use	lfx	"Yes / No if Levoflaxcin was included in the regimen
"	boolean												
summary_drug_use	mfx	"Yes / No if Moxifloxacin was included in the regimen
"	boolean												
summary_drug_use	pas	"Yes / No if p-aminosalicylic acid was included in the regimen
"	boolean												
summary_drug_use	pto	"Yes / No if Prothionamide was included in the regimen
"	boolean												
summary_drug_use	cs	"Yes / No if cycloserine was included in the regimen
"	boolean												
summary_drug_use	amx_clv	"Yes / No if Amoxicillin-clavulanate was included in the regimen
"	boolean												
summary_drug_use	mb	"Yes / No if Mycobutin was included in the regimen
"	boolean												
summary_drug_use	dld	"Yes / No if Delamandid was included in the regimen
"	boolean												
summary_drug_use	bdq	"Yes / No if Bedaquiline was included in the regimen
"	boolean												
summary_drug_use	ipm_cln	"Yes / No if Imipenem-cilastatin was included in the regimen
"	boolean												
summary_drug_use	lzd	"Yes / No if Linezolid was included in the regimen
"	boolean												
summary_drug_use	cfz	"Yes / No if Clofazimine was included in the regimen
"	boolean												
summary_drug_use	clr	"Yes / No if Clarithromycin was included in the regimen
"	boolean												
summary_drug_use	fq	"Yes / No if Fluoroquinolones were included in the regimen
"	boolean												
summary_drug_use	ag_cp	"Yes / No if aminoglycosides - injectable agents were included in the regimen
"	boolean												
summary_drug_use	trd	"Yes / No if Terizidone was included in the regimen
"	boolean												
summary_drug_use	eto	"Yes / No if Ethionamide was included in the regimen
"	boolean												
summary_drug_use	art	"Yes / No if Antiretroviral therapy (a treatment of people infected with human immunodeficiency virus using anti HIV-drugs) was included in the regimen
"	boolean												
summary_drug_use	cotrimoxazol	"Yes / No if Co-trimoxazole preventive therapy was included in the regimen
"	boolean												
summary_drug_use	version	"Version number of data
"	string												
family_history	type		enum					family_history 							
family_history	id			_definitions.yaml#/UUID											
family_history	state			_definitions.yaml#/state											
family_history	submitter_id		['string', 'null']												
family_history	relative_with_hiv_history	"Indicator to signify whether or not an individual's biological relative has been diagnosed with HIV.
"	enum					yes | no | unknown | not reported 							
family_history	relationship_type		string	_terms.yaml#/relationship_type											
family_history	relationship_gender		enum	_terms.yaml#/gender				female | male | unknown | unspecified | not reported 							
family_history	relationship_age_at_diagnosis		['number', 'null']	_terms.yaml#/relationship_age_at_diagnosis		89	0								
family_history	relationship_age_at_diagnosis_gt89		enum	_terms.yaml#/relationship_age_at_diagnosis_gt89				Yes | No 							
family_history	relationship_primary_diagnosis		string	_terms.yaml#/primary_diagnosis											
family_history	project_id			_definitions.yaml#/project_id											
family_history	created_datetime			_definitions.yaml#/datetime											
family_history	updated_datetime			_definitions.yaml#/datetime											
mirna_microarray	type		enum					mirna_microarray 							
mirna_microarray	data_category		enum	_terms.yaml#/data_category				Transcriptome Profiling 							
mirna_microarray	data_type		enum	_terms.yaml#/data_type				miRNA Expression Quantification 							
mirna_microarray	data_format		enum	_terms.yaml#/data_format				TXT | TSV | CSV 							
mirna_microarray	experimental_strategy		enum	_terms.yaml#/experimental_strategy				RNA-microarray 							
diagnosis	classification_of_tumor		enum	_terms.yaml#/classification_of_tumor				primary | metastasis | recurrence | other | Unknown | not reported | Not Allowed To Collect 							
diagnosis	lung_localization	"Pulmonary tuberculosis (PTB) and extrapulmonary TB (EPTB): PTB and EPTB diagnosed at the same time. A patient with both pulmonary and extrapulmonary TB should be classified as a case of PTB. Extrapulmonary tuberculosis (EPTB) refers to any bacteriologically confirmed or clinically diagnosed case of TB involving organs other than the lungs, e.g. pleura, lymph nodes, abdomen, genitourinary tract, skin, joints and bones, meninges. Pulmonary tuberculosis (PTB) refers to any bacteriologically confirmed or clinically diagnosed case of TB involving the lung parenchyma or the tracheobronchial tree. Miliary TB is classified as PTB because there are lesions in the lungs. Tuberculous intra-thoracic lymphadenopathy (mediastinal and/or hilar) or tuberculous pleural effusion, without radiographic abnormalities in the lungs, constitutes a case of extrapulmonary TB.
"	enum					Pulmonary and Extrapulmonary | Pulmonary | Extrapulmonary 							
diagnosis	morphology		string	_terms.yaml#/morphology											
diagnosis	primary_diagnosis		string	_terms.yaml#/primary_diagnosis											
diagnosis	prior_treatment		enum	_terms.yaml#/prior_treatment				Yes | No | Unknown | Not Reported | Not Allowed To Collect 							
diagnosis	progression_or_recurrence		enum	_terms.yaml#/progression_or_recurrence				yes | no | unknown | not reported | Not Allowed To Collect 							
diagnosis	tumor_grade		string	_terms.yaml#/tumor_grade											
diagnosis	tumor_stage		string	_terms.yaml#/tumor_stage											
diagnosis	tissue_or_organ_of_origin		string	_terms.yaml#/tissue_or_organ_of_origin											
diagnosis	type_of_resistance	"Type of TB resistance
"	enum					MDR non XDR | Mono DR | Poly DR | Sensitive | XDR 							
diagnosis	version_data	"Version number of data
    011= Version 01 in Visit 01
    ..
    993= Version 03 in Visit 99
"	integer												
diagnosis	visit_id	"Visit identifier
"	integer												
diagnosis	year_of_diagnosis		['number', 'null']	_terms.yaml#/year_of_diagnosis											
diagnosis	comorbidity	"The simultaneous presence of two chronic diseases or conditions in a patient
"	boolean												
diagnosis	comorbidity_hiv	"Presence of HIV as comorbidity
"	boolean												
diagnosis	comorbidity_hepatic_disease	"Presence of hepatic disease as comorbidity
"	boolean												
diagnosis	comorbidity_renal_disease	"Presence of renal disease as comorbidity
"	boolean												
diagnosis	comorbidity_anemia	"Presence of anemia as comorbidity
"	boolean												
diagnosis	comorbidity_diabetes	"Presence of diabetes as comorbidity
"	boolean												
hiv_history	bsdate	"Baseline year. First year enrolled.
"	integer	_terms.yaml#/C121182 											
hiv_history	bsvisit	"Baseline visit ID
"	integer												
hiv_history	status	"Summarized HIV sero-status
"	enum	_terms.yaml#/C159691 				Negative {_terms.yaml#/C38757, } | Prevalent {_terms.yaml#/C159688, } | Converter {_terms.yaml#/C159689, } | Converter identified at death {_terms.yaml#/C159690, } 							
hiv_history	lnegdate	"Last time seen seronegative (year)
"	integer	_terms.yaml#/C159693 ,_terms.yaml#/C119994 											
hiv_history	negvis	"Last visit seen seronegative
"	integer	_terms.yaml#/C159694 ,_terms.yaml#/C119994 											
hiv_history	fposdate	"First time seen seropositive (year)
"	integer	_terms.yaml#/C159693 ,_terms.yaml#/C159692 											
hiv_history	posvis	"First visit seen seropositive
"	integer	_terms.yaml#/C159695 ,_terms.yaml#/C159692 											
hiv_history	lastnoad	"Last reported ART free
"	integer	_terms.yaml#/C159697 ,_terms.yaml#/C94631 											
hiv_history	lastnoav	"Last reported ART free visit
"	integer	_terms.yaml#/C159698 ,_terms.yaml#/C94631 											
hiv_history	frstartd	"First reported ART year
"	integer	_terms.yaml#/C159699 ,_terms.yaml#/C94631 											
hiv_history	frstartv	"First reported ART visit
"	integer												
hiv_history	arthxbase	"Did participant report use of ART prior to baseline (screening) visit?
"	boolean	_terms.yaml#/C159709 ,_terms.yaml#/C94631 											
hiv_history	ehaart	"Ever HAART use (This is a derived value)
"	boolean	_terms.yaml#/C159710 ,_terms.yaml#/C16165 											
hiv_history	lastnohd	"Last reported HAART free year
"	integer	_terms.yaml#/C159700 ,_terms.yaml#/C16165 											
hiv_history	lastnohv	"Last reported HAART free visit
"	integer	_terms.yaml#/C159698 ,_terms.yaml#/C16165 											
hiv_history	frsthaad	"First reported HAART year
"	integer												
hiv_history	frsthaav	"First reported HAART visit
"	integer	_terms.yaml#/C159701 ,_terms.yaml#/C16165 											
hiv_history	lcd4higd	"Last year seen with CD4N >= 200 and CD4% >= 14
"	integer	_terms.yaml#/C159702 ,_terms.yaml#/C103810 ,_terms.yaml#/C61583 ,_terms.yaml#/C159711 ,_terms.yaml#/C16300 ,_terms.yaml#/C70460 ,_terms.yaml#/C113428 											
hiv_history	lcd4higv	"Last visit seen with CD4N >= 200 and CD4% >= 14
"	integer	_terms.yaml#/C159694 ,_terms.yaml#/C103810 ,_terms.yaml#/C61583 ,_terms.yaml#/C159711 ,_terms.yaml#/C16300 ,_terms.yaml#/C70460 ,_terms.yaml#/C113428 											
hiv_history	fcd4lowd	"First year seen with CD4N < 200 or CD4% < 14
"	integer	_terms.yaml#/C159703 ,_terms.yaml#/C103810 ,_terms.yaml#/C61585 ,_terms.yaml#/C159711 ,_terms.yaml#/C16300 ,_terms.yaml#/C70460 ,_terms.yaml#/C113428 											
hiv_history	fcd4lowv	"First visit seen with CD4N < 200 or CD4% < 14
"	integer	_terms.yaml#/C159696 ,_terms.yaml#/C103810 ,_terms.yaml#/C61585 ,_terms.yaml#/C159711 ,_terms.yaml#/C16300 ,_terms.yaml#/C70460 ,_terms.yaml#/C113428 											
hiv_history	lastafrd	"Last reported AIDS free year
"	integer	_terms.yaml#/C159698 ,_terms.yaml#/C16165 											
hiv_history	lastafrv	"Last reported AIDS free visit (derived from WIHS only)
"	integer	_terms.yaml#/C159698 ,_terms.yaml#/C2851 											
hiv_history	frstaidd	"First reported AIDS year
"	integer	_terms.yaml#/C159699 ,_terms.yaml#/C2851 											
hiv_history	frstaidv	"First reported AIDS visit
"	integer	_terms.yaml#/C159701 ,_terms.yaml#/C2851 											
hiv_history	frstdthd	"Year of death
"	integer	_terms.yaml#/C156426 											
hiv_history	mortcutd	"Mortality cut-off year based on NDI submission (site-level year)
"	integer	_terms.yaml#/C159714 											
hiv_history	lastconv	"Last study visit attended
"	integer												
hiv_history	lastcond	"Year of last study visit attended
"	integer	_terms.yaml#/C159712 											
hiv_history	lastcontact	"Last year of contact (includes in-person or phone contact)
"	integer	_terms.yaml#/C159713 											
hiv_history	cd4nadir	"HAART experienced only, CD4 nadir prior to HAART initiation (measured during followup or at HAART initiation for HAART- experienced recruits)
"	integer	_terms.yaml#/C16300 ,_terms.yaml#/C43517 											
hiv_history	version	"Version number of data
"	string												
submitted_methylation	type		enum					submitted_methylation 							
submitted_methylation	data_category		enum	_terms.yaml#/data_category				Methylation Data 							
submitted_methylation	data_type		enum	_terms.yaml#/data_type				Methylation Intensity Values 							
submitted_methylation	data_format		enum	_terms.yaml#/data_format				IDAT 							
submitted_methylation	assay_method		enum					Methylation Array 							
submitted_methylation	assay_instrument		enum					Illumina 							
submitted_methylation	assay_instrument_model		enum					Illumina Infinium HumanMethylation450 | Illumina Infinium HumanMethylation450K 							
lipid_mass_spectrometry	type		enum					lipid_mass_spectrometry 							
lipid_mass_spectrometry	data_category		enum	_terms.yaml#/data_category				Lipid Profiling 							
lipid_mass_spectrometry	data_type		enum	_terms.yaml#/data_type				Lipid Mass Spectrometry 							
lipid_mass_spectrometry	data_format		enum	_terms.yaml#/data_format				TXT | TSV | CSV | RAW 							
lipid_mass_spectrometry	experimental_strategy		enum	_terms.yaml#/experimental_strategy				Liquid chromatography-tandem mass spectrometry 							
neurocognitive_test	avg_dominant_finger_tap	"Average score at finger tapping test for dementia screening (dominant hand).
"	number												
neurocognitive_test	avg_nondominant_finger_tap	"Average score at finger tapping test for dementia screening (non-dominant hand).
"	number												
neurocognitive_test	left_ankle_reflexes	"Deep tendon reflexes at left ankle
"	enum					No | Yes | Unable to evaluate | Refused 							
neurocognitive_test	left_vibration_perception	"Perception of vibration in great toe (left side) using a 128 Hz tuning fork
"	enum					No | Yes (normal) | Yes (mild loss) | Yes (moderate loss) | Unable to evaluate | Refused 							
neurocognitive_test	neurocognitive_test_total_time	"Total time taken for the neurocognitive examination (minutes)
"	number												
neurocognitive_test	paired_recall	"Number of boxes filled from memory in the Symbol Digit Task (Form 18).
"	integer												
neurocognitive_test	pegboard_actual_score	"Actual score at the pegboard test
"	integer												
neurocognitive_test	pegboard_dominant_hand_drops	"Number of drops at the pegboard test with the dominant hand.
"	integer												
neurocognitive_test	pegboard_dominant_hand_time	"Time taken to complete the pegboard test with the dominant hand.
"	number												
neurocognitive_test	pegboard_nondominant_hand_drops	"Number of drops at the pegboard test with the non-dominant hand.
"	integer												
neurocognitive_test	pegboard_nondominant_hand_time	"Time taken to complete the pegboard test with the non-dominant hand.
"	number												
neurocognitive_test	rey_osterreith_copy_score	"Total score copying the Rey-Osterreith Complex Figure.
"	integer												
neurocognitive_test	rey_osterreith_delayed_recall_score	"Total score recalling the Rey-Osterreith Complex Figure after 20 minutes.
"	integer												
neurocognitive_test	rey_osterreith_immediate_recall_score	"Total score immediately recalling the Rey-Osterreith Complex Figure.
"	integer												
neurocognitive_test	right_ankle_reflexes	"Deep tendon reflexes at right ankle
"	enum					No | Yes | Unable to evaluate | Refused 							
neurocognitive_test	right_vibration_perception	"Perception of vibration at great toe (right side) using a 128 Hz tuning fork
"	enum					No | Yes (normal) | Yes (mild loss) | Yes (moderate loss) | Unable to evaluate | Refused 							
neurocognitive_test	stroop_color_name_error_count	"Number of errors at the color-naming task in Stroop test.
"	integer												
neurocognitive_test	stroop_color_name_time	"Time taken to complete the color-naming task in Stroop test (seconds).
"	number												
neurocognitive_test	stroop_interference_trial_error_count	"Number of errors at the interference trial task in Stroop test.
"	integer												
neurocognitive_test	stroop_interference_trial_read_time	"Time taken to complete the interference trial task in Stroop test (seconds).
"	number												
neurocognitive_test	stroop_word_read_error_count	"Number of errors at the word-reading task in Stroop test.
"	integer												
neurocognitive_test	stroop_word_read_time	"Time taken to complete the word-reading task in Stroop test (seconds).
"	number												
neurocognitive_test	symbol_digit_actual_score	"Symbol-digit paired recall, actual score
"	integer												
neurocognitive_test	symbol_digit_raw_score	"Symbol-digit raw score
"	integer												
neurocognitive_test	trail_making_connected_points_a	"Number of connected points in Trail-Making Task (Part A).
"	integer												
neurocognitive_test	trail_making_connected_points_b	"Number of connected points in Trail-Making Task (Part B).
"	integer												
neurocognitive_test	trail_making_error_count_a	"Number of errors in the Trail-Making Task (Part A).
"	integer												
neurocognitive_test	trail_making_error_count_b	"Number of errors in the Trail-Making Task (Part B).
"	integer												
neurocognitive_test	trail_making_prompt_count_a	"Number of prompts in Trail-Making Task (Part A).
"	integer												
neurocognitive_test	trail_making_prompt_count_b	"Number of prompts in Trail-Making Task (Part B).
"	integer												
neurocognitive_test	trail_making_time_a	"Elapsed time taken to complete the Trail-Making Task (Part A).
"	number												
neurocognitive_test	trail_making_time_b	"Elapsed time taken to complete the Trail-Making Task (Part B).
"	number												
neurocognitive_test	verbal_learning_correct_word_count	"Number of correct words in the delayed recall for Rey Auditory Verbal Learning Test.
"	integer												
neurocognitive_test	verbal_learning_false_positive_word_count	"Number of false-positive words in the recognition task for Rey Auditory Verbal Learning Test.
"	integer												
neurocognitive_test	verbal_learning_recognized_word_count	"Number of recognized words in the recognition task for Rey Auditory Verbal Learning Test.
"	integer												
neurocognitive_test	verbal_learning_wrong_word_count	"Number of wrong words in the delayed recall for Rey Auditory Verbal Learning Test.
"	integer												
treatment	first_macs_visit_haart	"First visit reported HAART
"	number												
treatment	last_macs_visit_haart_free	"Last visit reported HAART-free
"	integer												
treatment	regimen_or_line_of_therapy	"General name for a the group of treatments of which this treatment was a part. This reference name can be used to identify treatments involved in a certain outcome later one.
"	string												
treatment	year_of_last_haart_free	"Last reported HAART-free year
"	number												
treatment	year_of_treatment	"First reported treatment year
"	number												
treatment	therapeutic_agents		string	_terms.yaml#/therapeutic_agents											
treatment	treatment_intent_type		string	_terms.yaml#/treatment_intent_type											
treatment	treatment_outcome		enum	_terms.yaml#/treatment_outcome				Complete Response | Partial Response | Treatment Ongoing | Treatment Stopped Due to Toxicity | Completed | Cured | Default | Failed | Died | Unknown 							
treatment	treatment_type		string	_terms.yaml#/treatment_type											
treatment	treatment_span	"Span of treatment
"	integer												
treatment	regimen_count	"Count of regimens
"	integer												
treatment	treatment_status	"Status of treatment.
"	string												
core_metadata_collection	contributor	"An entity responsible for making contributions to the resource. Examples of a Contributor include a person, an organization, or a service. Typically, the name of a Contributor should be used to indicate the entity.
"	string												
core_metadata_collection	coverage	"The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant. Spatial topic and spatial applicability may be a named place or a location specified by its geographic coordinates. Temporal topic may be a named period, date, or date range. A jurisdiction may be a named administrative entity or a geographic place to which the resource applies. Recommended best practice is to use a controlled vocabulary such as the Thesaurus of Geographic Names [TGN] (http://www.getty.edu/research/tools/vocabulary/tgn/index.html). Where appropriate, named places or time periods can be used in preference to numeric identifiers such as sets of coordinates or date ranges.
"	string												
core_metadata_collection	creator	"An entity primarily responsible for making the resource. Examples of a Creator include a person, an organization, or a service. Typically, the name of a Creator should be used to indicate the entity.
"	string												
core_metadata_collection	date			_definitions.yaml#/datetime											
core_metadata_collection	description	"An account of the resource. Description may include but is not limited to: an abstract, a table of contents, a graphical representation, or a free-text account of the resource.
"	string												
core_metadata_collection	format	"The file format, physical medium, or dimensions of the resource. Examples of dimensions include size and duration. Recommended best practice is to use a controlled vocabulary such as the list of Internet Media Types [MIME] (http://www.iana.org/assignments/media-types/).
"	string												
core_metadata_collection	language	"A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 (http://www.ietf.org/rfc/rfc4646.txt).
"	string												
core_metadata_collection	publisher	"An entity responsible for making the resource available. Examples of a Publisher include a person, an organization, or a service. Typically, the name of a Publisher should be used to indicate the entity.
"	string												
core_metadata_collection	relation	"A related resource. Recommended best practice is to identify the related resource by means of a string conforming to a formal identification system. 
"	string												
core_metadata_collection	rights	"Information about rights held in and over the resource. Typically, rights information includes a statement about various property rights associated with the resource, including intellectual property rights.
"	string												
core_metadata_collection	source	"A related resource from which the described resource is derived. The described resource may be derived from the related resource in whole or in part. Recommended best practice is to identify the related resource by means of a string conforming to a formal identification system.
"	string												
core_metadata_collection	subject	"The topic of the resource. Typically, the subject will be represented using keywords, key phrases, or classification codes. Recommended best practice is to use a controlled vocabulary.
"	string												
core_metadata_collection	title	"A name given to the resource. Typically, a Title will be a name by which the resource is formally known.
"	string												
core_metadata_collection	data_type	"The nature or genre of the resource. Recommended best practice is to use a controlled vocabulary such as the DCMI Type Vocabulary [DCMITYPE]. To describe the file format, physical medium, or dimensions of the resource, use the Format element.
"	string												
peptide_expression	type		enum					peptide_expression 							
peptide_expression	data_category		enum	_terms.yaml#/data_category				Protein Profiling 							
peptide_expression	data_type		enum	_terms.yaml#/data_type				Peptide Expression Quantification 							
peptide_expression	data_format		enum	_terms.yaml#/data_format				TXT | TSV | CSV 							
peptide_expression	experimental_strategy		enum	_terms.yaml#/experimental_strategy				Liquid chromatography-tandem mass spectrometry 							
mrna_expression	type		enum					mrna_expression 							
mrna_expression	data_category		enum	_terms.yaml#/data_category				Transcriptome Profiling 							
mrna_expression	data_type		enum	_terms.yaml#/data_type				mRNA Expression Quantification 							
mrna_expression	data_format		enum	_terms.yaml#/data_format				TXT | TSV | CSV 							
mrna_expression	experimental_strategy		enum	_terms.yaml#/experimental_strategy				WGS | WXS | Low Pass WGS | Validation | RNA-Seq | miRNA-Seq | Total RNA-Seq | DNA Panel | RNA-microarray 							
read_group_qc	type		enum					read_group_qc 							
read_group_qc	workflow_type		enum	_terms.yaml#/workflow_type				Read Group Quality Control 							
read_group_qc	fastq_name		string	_terms.yaml#/file_name											
read_group_qc	percent_aligned	The percent of reads with at least one reported alignment.	integer			100	0								
read_group_qc	percent_gc_content		integer	_terms.yaml#/percent_gc_content		100	0								
read_group_qc	encoding		string	_terms.yaml#/encoding											
read_group_qc	total_aligned_reads	The total number of reads with at least one reported alignment.	integer												
read_group_qc	total_sequences		integer	_terms.yaml#/total_sequences											
read_group_qc	basic_statistics			_definitions.yaml#/qc_metrics_state											
read_group_qc	per_base_sequence_quality			_definitions.yaml#/qc_metrics_state											
read_group_qc	per_tile_sequence_quality			_definitions.yaml#/qc_metrics_state											
read_group_qc	per_sequence_quality_score			_definitions.yaml#/qc_metrics_state											
read_group_qc	per_base_sequence_content			_definitions.yaml#/qc_metrics_state											
read_group_qc	per_sequence_gc_content			_definitions.yaml#/qc_metrics_state											
read_group_qc	per_base_n_content			_definitions.yaml#/qc_metrics_state											
read_group_qc	sequence_length_distribution			_definitions.yaml#/qc_metrics_state											
read_group_qc	sequence_duplication_levels			_definitions.yaml#/qc_metrics_state											
read_group_qc	overrepresented_sequences			_definitions.yaml#/qc_metrics_state											
read_group_qc	adapter_content			_definitions.yaml#/qc_metrics_state											
read_group_qc	kmer_content			_definitions.yaml#/qc_metrics_state											
metabolite_mass_spectrometry	type		enum					metabolite_mass_spectrometry 							
metabolite_mass_spectrometry	data_category		enum	_terms.yaml#/data_category				Metabolite Profiling 							
metabolite_mass_spectrometry	data_type		enum	_terms.yaml#/data_type				Metabolite Mass Spectrometry 							
metabolite_mass_spectrometry	data_format		enum	_terms.yaml#/data_format				TXT | TSV | CSV | RAW | TAR 							
metabolite_mass_spectrometry	experimental_strategy		enum	_terms.yaml#/experimental_strategy				Liquid chromatography-tandem mass spectrometry 							
protein_mass_spectrometry	type		enum					protein_mass_spectrometry 							
protein_mass_spectrometry	data_category		enum	_terms.yaml#/data_category				Protein Profiling 							
protein_mass_spectrometry	data_type		enum	_terms.yaml#/data_type				Protein Mass Spectrometry 							
protein_mass_spectrometry	data_format		enum	_terms.yaml#/data_format				TXT | TSV | CSV | RAW 							
protein_mass_spectrometry	experimental_strategy		enum	_terms.yaml#/experimental_strategy				Liquid chromatography-tandem mass spectrometry 							
submitted_genomic_profile	type		enum					submitted_genomic_profile 							
submitted_genomic_profile	data_category		enum	_terms.yaml#/data_category				Combined Nucleotide Variation | Genomic Profiling 							
submitted_genomic_profile	data_type		enum	_terms.yaml#/data_type				FoundationOne Report | GENIE Report | Raw CGI Variant | Variant Calling 							
submitted_genomic_profile	data_format		enum	_terms.yaml#/data_format				MAF | TSV | VCF | XML 							
submitted_genomic_profile	experimental_strategy		enum	_terms.yaml#/experimental_strategy				Targeted Sequencing | WGS 							
imaging_report	dissemination	"Diffuse pulmonary nodules detected
"	boolean												
imaging_report	lungcavity_size	"Size of lung cavity.
"	string												
imaging_report	mediastinum_vessels_maldevelopment	"Anomaly Of Mediastinum Vessels Develop detected (yes or no)
"	boolean												
imaging_report	affect_pleura	"changes in the pleura
"	boolean												
imaging_report	shadow_pattern	"Pattern of shadows. Options include Nodule, node and infiltrate; nodule less than 10 mm; Node more than 10 mm;  Nodule and node; Infiltrate(s)
"	string												
imaging_report	affect_level	"Affect localized in Medium and Lower Lobi, total lung, lower lobus, medium lobus, upper and lower lobbi, upper and medium lobbi, upper lobus
"	enum					Upper Lobus | Upper and Medium Lobbi | Upper and Lower Lobbi | Medium Lobus | Lower Lobus | Medium and Lower Lobbi 							
imaging_report	pneumothorax	"Pneumothorax detected (yes or no)
"	boolean												
imaging_report	plevritis	"pleural effusion detected (yes or no)
"	boolean												
imaging_report	affected_segments	"Segments affected.
"	string												
imaging_report	nodi_calcinatum	"Nodi Calcinatum detected (yes or no)
"	boolean												
imaging_report	process_prevalence	"Prevalence of process in more than or equal to 2 segments, or in less than 2 segments.
"	string												
imaging_report	pulmonaryartery_thromboembolism	"Thromboembolism Of The Pulmonary Artery detected (yes or no)
"	enum					Yes | No | Not Reported 							
imaging_report	post_tb_residuals	"Post-tuberculosis changes in the lung
"	enum					Yes | No | Not Reported | No, Yes 							
imaging_report	lung_capacity_decrease	"reduced lung volumes
"	enum					Yes | No | Not Reported | No, Yes 							
imaging_report	bronchial_obstruction	"bronchial obstruction syndrome disorders
"	enum					Yes | No | Not Reported | No, Yes 							
imaging_report	lung_maldevelopment	"Anomaly of lung develop detected (yes or no)
"	boolean												
imaging_report	accumulation_of_contrast	"More than 30HU of contrast accumulated, less than 10-30HU of contrast accumulated, or no contrast accumulated
"	enum					No | less10-13 | more30 							
imaging_report	limfoadenopatia	"In general 10 mm is considered the upper limit for normal nodes (short transverse diameter
"	boolean												
imaging_report	total_cavernum	"More than two cavities, two lung cavities, 1 cavity, or no cavities
"	string												
imaging_report	abnormal_volume_percentage	"Overall percent of abnormal volume. Pleural effusion should be excluded. This is a professional judgment number in addition to the volume that can be calculated
"	string												
imaging_report	hemithorax_pleuraleffusion_percentage	"indicate % of hemithorax involved (0-100%)
"	string												
imaging_report	bilateral_pleuraleffusion	"indicate if pleural effusion is bilateral
"	string												
imaging_report	non_tb_abnormalities	"Non TB Abnormality detected (yes or no)
"	string												
imaging_report	mediastinal_lymphnodes	"Mediastinal lymph nodes present
"	string												
imaging_report	rater	"Type of rater, eg: radiologist, general practitioner, other
"	enum					General practitioner | Radiologist | Other 							
imaging_report	collapse	"Lung collapse detected
"	string												
imaging_report	small_cavities	"Cavity size: <3cm. Collect % of the sextant that is covered by cavities of this size
"	string												
imaging_report	medium_cavities	"Cavity size: 3-5 cm. Collect % of the sextant that is covered by cavities of this size
"	string												
imaging_report	large_cavities	"Cavity size: >5cm. Collect % of the sextant that is covered by cavities of this size
"	string												
imaging_report	multi_sextant_cavity	"Indicate if any Large cavity belongs to a multi-sextant cavity
"	string												
imaging_report	multi_cavities	"Indicate if multiple cavities can be seen
"	string												
imaging_report	infiltrate	"Does infiltrate exist (yes or no)
"	string												
imaging_report	infiltrate_low_density	"Infiltrate Low density
"	string												
imaging_report	infiltrate_medium_density	"Infiltrate Medium density
"	string												
imaging_report	infiltrate_high_density	"Infiltrate High density
"	string												
imaging_report	small_nodules	"Nodule size: <5mm. Collect % of the sextant that is covered by nodules of this size
"	string												
imaging_report	medium_nodules	"Nodule size: 15-5mm. Collect % of the sextant that is covered by nodules of this size
"	string												
imaging_report	large_nodules	"Nodule size:15-30mm. Collect % of the sextant that is covered by nodules of this size
"	string												
imaging_report	huge_nodules	"Nodule size: >30mm. Tuberculoma. Collect % of the sextant that is covered by nodules of this size
"	string												
imaging_report	nodule_calcified	"Nodule that is calcified or partially-calcified
"	string												
imaging_report	nodule_non_calcified	"Nodule that is non-calcified
"	string												
imaging_report	cluster_nodes	"Nodules that are clustered - several nodules 2mm-5mm apart
"	string												
imaging_report	multiple_nodes	"Single or multiple nodules
"	string												
imaging_report	low_density_nodes	"Low/ground glass (active fresh nodules)
"	string												
imaging_report	medium_density_nodes	"Medium (stabilized fibrotic nodules)
"	string												
imaging_report	high_density_nodes	"High (calcified nodules, typically sequella)
"	string												
keyword	type		enum					keyword 							
keyword	id			_definitions.yaml#/UUID											
keyword	state			_definitions.yaml#/state											
keyword	submitter_id		['string', 'null']												
keyword	keyword_name	The name of the keyword.	string												
keyword	keyword_definition	Description of the keyword.	string												
keyword	project_id		string												
keyword	created_datetime			_definitions.yaml#/datetime											
keyword	updated_datetime			_definitions.yaml#/datetime											
exposure	dominant_hand	"Hand the subject use to write
"	enum					Right | Left 							
exposure	employment_status	"Current employment status
"	enum					Working full-time | Working part-time | Unemployed but seeking work | Unemployed not seeking work | Student | Retired | Disability 							
exposure	highest_education	"Highest grade or level of regular school or college that the subject finished or got credit for
"	enum					8th grade (or less) | 9th 10th or 11th grade | 12th grade (high school graduate or a GED) | at least one year of college but not degree | four years of college and got a degree | some graduate school | a graduate program and got a post-graduate degree 							
exposure	insurance_coverage	"Does the participant have insurance coverage?
"	boolean												
exposure	rodent_weight	"The weight of the rodent subject measured in grams
"	number												
